"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"889","Lorenzini Apparels Ltd","LAL","P&F | F.A","-2.04%","11.54","6,26,625"
"896","Sadbhav Engineering Limited","SADBHAV","P&F | F.A","-2.04%","10.54","13,69,166"
"996","Filatex Fashions Ltd","FILATFASH","P&F | F.A","-2.04%","0.48","2,88,55,645"
"84","Infosys Limited","INFY","P&F | F.A","-2.05%","1570.65","67,99,047"
"184","Tejas Networks","TEJASNET","P&F | F.A","-2.05%","760.45","17,09,221"
"908","Kamdhenu Ventures Ltd","KAMOPAINTS","P&F | F.A","-2.05%","9.1","2,72,690"
"918","Kritika Wires Ltd","KRITIKA","P&F | F.A","-2.05%","8.6","1,12,753"
"463","Ashok Leyland Limited","ASHOKLEY","P&F | F.A","-2.06%","204.22","1,04,12,046"
"521","Marine Electricals (India) Ltd","MARINE","P&F | F.A","-2.06%","156.99","3,83,443"
"649","Sterlite Technologies Limited","STLTECH","P&F | F.A","-2.06%","80.92","35,06,877"
"317","KPI Green Energy Ltd","KPIGREEN","P&F | F.A","-2.07%","408.5","8,62,907"
"325","Birlasoft Ltd","BSOFT","P&F | F.A","-2.07%","387.7","24,64,995"
"522","Ircon International Ltd","IRCON","P&F | F.A","-2.07%","156.48","75,25,794"
"961","SVP Global Ventures Ltd","SVPGLOB","P&F | F.A","-2.08%","2.83","67,423"
"968","Sakuma Exports Limited","SAKUMA","P&F | F.A","-2.08%","2.35","12,05,056"
"997","Siti Networks Limited","SITINET","P&F | F.A","-2.08%","0.47","12,59,047"
"334","Tata Power Company Limited","TATAPOWER","P&F | F.A","-2.09%","375.4","64,58,106"
"644","Fedbank Financial Services Ltd","FEDFINA","P&F | F.A","-2.09%","82.51","8,17,478"
"251","Indian Bank","INDIANB","P&F | F.A","-2.1%","541.3","13,78,507"
"550","Himatsingka Seide Limited","HIMATSEIDE","P&F | F.A","-2.11%","140.89","7,32,610"
"702","Lloyds Engineering Works Ltd","LLOYDSENGG","P&F | F.A","-2.11%","57.62","39,67,232"
"76","Cartrade Tech Ltd","CARTRADE","P&F | F.A","-2.14%","1644.95","1,95,658"
"180","Jk Lakshmi Cement Limited","JKLAKSHMI","P&F | F.A","-2.14%","774.1","7,89,228"
"126","Deepak Fertilizers And Petrochemicals Corporation Limited","DEEPAKFERT","P&F | F.A","-2.16%","1116.2","2,68,644"
"322","Nippon India ETF Hang Seng Bees","HNGSNGBEES","P&F | F.A","-2.16%","396.09","3,86,851"
"602","Dcb Bank Limited","DCBBANK","P&F | F.A","-2.17%","112.01","14,26,925"
"666","Jamna Auto Industries Limited","JAMNAAUTO","P&F | F.A","-2.17%","75.37","21,39,282"
"159","PVR Inox Ltd","PVRINOX","P&F | F.A","-2.19%","912.55","5,11,952"
"491","S H Kelkar And Company Limited","SHK","P&F | F.A","-2.19%","176.6","3,37,802"
"540","Standard Glass Lining Technology Ltd","SGLTL","P&F | F.A","-2.19%","146.82","5,98,699"
"978","Inventure Growth & Securities Limited","INVENTURE","P&F | F.A","-2.19%","1.34","36,17,608"
"579","Anant Raj Global Ltd","TARC","P&F | F.A","-2.2%","123.13","6,27,046"
"850","Yes Bank Limited","YESBANK","P&F | F.A","-2.2%","16.88","9,80,61,236"
"647","Foods & Inns Ltd","FOODSIN","P&F | F.A","-2.21%","81.32","8,61,435"
"701","Bodal Chemicals Limited","BODALCHEM","P&F | F.A","-2.21%","58.37","8,00,756"
"717","MIC Electronics Ltd","MICEL","P&F | F.A","-2.21%","53.01","6,38,687"
"959","Gvk Power & Infrastructure Limited","GVKPIL","P&F | F.A","-2.21%","3.1","9,01,066"
"467","Zomato Ltd","ZOMATO","P&F | F.A","-2.22%","201.7","7,48,42,762"
