"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"946","Ducon Infratechnologies Limited","DUCON","P&F | F.A","-3.49%","4.7","11,31,790"
"721","Mmtc Limited","MMTC","P&F | F.A","-3.51%","52.18","27,38,668"
"219","Indusind Bank Limited","INDUSINDBK","P&F | F.A","-3.52%","649.85","88,07,815"
"545","Deepak Builders & Engineers India Ltd","DBEIL","P&F | F.A","-3.52%","143.07","2,89,433"
"23","LTI Mindtree Ltd","LTIM","P&F | F.A","-3.53%","4491.35","4,47,846"
"699","Gateway Distriparks Ltd","GATEWAY","P&F | F.A","-3.53%","59.87","12,27,995"
"257","AU Small Finance Bank","AUBANK","P&F | F.A","-3.57%","534.6","31,18,677"
"791","Allcargo Logistics Limited","ALLCARGO","P&F | F.A","-3.57%","28.6","69,43,441"
"966","Globe Textiles (India) Ltd","GLOBE","P&F | F.A","-3.57%","2.43","13,25,032"
"274","Anant Raj Limited","ANANTRAJ","P&F | F.A","-3.58%","491.6","17,86,809"
"432","IKIO Lighting Ltd","IKIO","P&F | F.A","-3.58%","236.12","1,75,259"
"227","EMS Ltd","EMSLIMITED","P&F | F.A","-3.6%","618.2","4,13,647"
"841","Bajaj Hindusthan Sugar Limited","BAJAJHIND","P&F | F.A","-3.61%","19.47","1,16,27,998"
"358","Aarti Drugs Limited","AARTIDRUGS","P&F | F.A","-3.63%","340.3","2,65,000"
"709","Tata Teleservices (maharashtra) Limited","TTML","P&F | F.A","-3.65%","56.29","54,48,960"
"407","Wipro Limited","WIPRO","P&F | F.A","-3.66%","262.25","1,42,83,389"
"116","Macrotech Developers Ltd","LODHA","P&F | F.A","-3.67%","1195.8","9,65,367"
"552","Fusion Micro Finance Ltd","FUSION","P&F | F.A","-3.67%","140.27","8,49,697"
"798","HMA Agro Industries Ltd","HMAAGRO","P&F | F.A","-3.67%","28.11","5,65,429"
"466","EPL Ltd","EPL","P&F | F.A","-3.7%","201.71","11,09,159"
"693","Magellanic Cloud Ltd","MCLOUD","P&F | F.A","-3.71%","61.85","20,66,423"
"716","Ola Electric Mobility Ltd","OLAELEC","P&F | F.A","-3.72%","53.05","3,80,33,501"
"884","Rana Sugars Limited","RANASUG","P&F | F.A","-3.72%","12.18","12,39,350"
"834","Hindustan Motors Limited","HINDMOTORS","P&F | F.A","-3.73%","21.19","18,34,600"
"129","SignatureGlobal India Ltd","SIGNATURE","P&F | F.A","-3.74%","1093.7","5,69,286"
"902","Rattanindia Power Limited","RTNPOWER","P&F | F.A","-3.74%","9.79","1,60,67,903"
"18","Tata Elxsi Limited","TATAELXSI","P&F | F.A","-3.75%","5214.6","5,29,718"
"171","Jindal Drilling And Industries Limited","JINDRILL","P&F | F.A","-3.76%","833.65","2,97,528"
"835","3i Infotech Ltd","3IINFOLTD","P&F | F.A","-3.78%","21.15","13,13,429"
"928","TruCap Finance Ltd","TRU","P&F | F.A","-3.78%","7.12","22,76,947"
"684","Stallion India Fluorochemicals Ltd","STALLION","P&F | F.A","-3.84%","67.9","7,42,954"
"440","Fineotex Chemical Limited","FCL","P&F | F.A","-3.86%","229.83","5,50,571"
"408","Genus Power Infrastructures Limited","GENUSPOWER","P&F | F.A","-3.88%","261.7","6,09,955"
"615","Texmaco Infrastructure & Holdings Limited","TEXINFRA","P&F | F.A","-3.88%","102.38","4,31,760"
"839","Sakthi Sugars Limited","SAKHTISUG","P&F | F.A","-3.89%","20.52","2,74,288"
"288","Transrail Lighting Ltd","TRANSRAILL","P&F | F.A","-3.91%","462.55","28,94,568"
"374","Allied Blenders & Distillers Ltd","ABDL","P&F | F.A","-3.97%","306.2","27,86,143"
"541","Apeejay Surrendra Park Hotels Ltd","PARKHOTELS","P&F | F.A","-3.98%","146.44","9,36,632"
"598","Indo Amines Ltd","INDOAMIN","P&F | F.A","-4.01%","115.01","2,31,289"
"845","DigiSpice Technologies Ltd","DIGISPICE","P&F | F.A","-4.06%","17.49","3,55,566"
"935","Spacenet Enterprises India Ltd","SPCENET","P&F | F.A","-4.1%","6.31","10,30,610"
"955","Nandan Denim Limited","NDL","P&F | F.A","-4.1%","3.51","44,07,031"
"416","Indo Count Industries Limited","ICIL","P&F | F.A","-4.13%","253.95","4,32,097"
"965","Housing Development And Infrastructure Limited","HDIL","P&F | F.A","-4.14%","2.55","4,66,221"
"752","Gokul Refoils And Solvent Limited","GOKUL","P&F | F.A","-4.15%","42.76","1,34,453"
"888","Easy Trip Planners Ltd","EASEMYTRIP","P&F | F.A","-4.17%","11.71","4,05,87,986"
"538","Exicom Tele-Systems Ltd","EXICOM","P&F | F.A","-4.2%","147.44","7,16,154"
"956","Future Enterprises DVR","FELDVR","P&F | F.A","-4.2%","3.42","13,875"
"616","Gujarat Ambuja Exports Limited","GAEL","P&F | F.A","-4.22%","102.12","14,93,341"
"915","Praxis Home Retail Ltd","PRAXIS","P&F | F.A","-4.23%","8.84","25,41,340"
"766","Dwarikesh Sugar Industries Limited","DWARKESH","P&F | F.A","-4.27%","36.81","19,14,752"
"943","B.a.g Films And Media Limited","BAGFILMS","P&F | F.A","-4.29%","5.35","3,92,471"
"983","Teamo Productions HQ Ltd","TPHQ","P&F | F.A","-4.31%","1.11","24,68,213"
"969","Vikas Ecotech Limited","VIKASECO","P&F | F.A","-4.33%","2.21","67,99,141"
"473","Ashoka Buildcon Limited","ASHOKA","P&F | F.A","-4.35%","192.51","23,95,443"
"893","Mirc Electronics Limited","MIRCELECTR","P&F | F.A","-4.37%","11.16","8,42,052"
"970","Orchasp Ltd","ORCHASP","P&F | F.A","-4.39%","2.18","4,93,639"
"165","Uno Minda Ltd","UNOMINDA","P&F | F.A","-4.41%","875.5","16,29,549"
"359","Firstsource Solutions Limited","FSL","P&F | F.A","-4.44%","340.25","45,72,928"
"947","Ganga Forging Ltd","GANGAFORGE","P&F | F.A","-4.46%","4.28","5,88,986"
"846","Ashima Limited","ASHIMASYN","P&F | F.A","-4.5%","17.18","11,04,199"
"952","Cerebra Integrated Technologies Limited","CEREBRAINT","P&F | F.A","-4.52%","4.01","4,85,601"
"532","Parag Milk Foods Limited","PARAGMILK","P&F | F.A","-4.54%","149.45","20,15,921"
"539","Themis Medicare Limited","THEMISMED","P&F | F.A","-4.56%","146.98","1,11,247"
"584","Electronics Mart India Ltd","EMIL","P&F | F.A","-4.56%","121.65","5,16,091"
"242","Icici Prudential Life Insurance Company Limited","ICICIPRULI","P&F | F.A","-4.57%","564.35","19,19,467"
"892","Jhs Svendgaard Laboratories Limited","JHS","P&F | F.A","-4.61%","11.18","4,04,804"
"981","Future Lifestyle Fashions Limited","FLFL","P&F | F.A","-4.62%","1.24","1,28,616"
"200","Intellect Design Arena Limited","INTELLECT","P&F | F.A","-4.67%","692.7","3,81,913"
"905","Vakrangee Limited","VAKRANGEE","P&F | F.A","-4.76%","9.41","1,43,59,773"
"726","Radiant Cash Management Services Ltd","RADIANTCMS","P&F | F.A","-4.79%","51.08","54,63,787"
"877","Pc Jeweller Limited","PCJEWELLER","P&F | F.A","-4.81%","13.06","2,50,51,866"
"595","Aptech Limited","APTECHT","P&F | F.A","-4.83%","116.94","4,07,095"
"388","Gujarat Themis Biosyn Ltd","GUJTHEM","P&F | F.A","-4.86%","281.91","79,717"
"851","Sadhana Nitro Chem Ltd","SADHNANIQ","P&F | F.A","-4.86%","16.85","5,60,086"
"930","Shyam Century Ferrous Limited","SHYAMCENT","P&F | F.A","-4.94%","6.74","4,80,210"
"551","Samhi Hotels Ltd","SAMHI","P&F | F.A","-4.97%","140.82","24,04,448"
"883","Subex Ltd","SUBEXLTD","P&F | F.A","-4.98%","12.2","1,05,90,899"
"696","Restaurant Brands Asia Ltd","RBA","P&F | F.A","-5%","60.45","26,05,634"
"942","Zee Learn Limited","ZEELEARN","P&F | F.A","-5%","5.51","32,32,554"
"324","Max Estates Ltd","MAXESTATES","P&F | F.A","-5.06%","389.2","3,06,391"
"919","AGS Transact Technologies Ltd","AGSTRA","P&F | F.A","-5.06%","8.26","2,92,502"
"479","Rajesh Exports Limited","RAJESHEXPO","P&F | F.A","-5.09%","185.56","17,01,213"
"727","Mirae Asset S&P 500 Top 50 ETF","MASPTOP50","P&F | F.A","-5.11%","49.44","9,63,931"
"931","Take Solutions Limited","TAKE","P&F | F.A","-5.11%","6.69","3,55,170"
"958","Jaiprakash Associates Limited","JPASSOCIAT","P&F | F.A","-5.17%","3.12","74,11,641"
"950","Kesoram Industries Limited","KESORAMIND","P&F | F.A","-5.2%","4.19","2,98,50,842"
"972","Rolta India Limited","ROLTA","P&F | F.A","-5.21%","2","4,77,228"
"378","Mahindra Lifespace Developers Limited","MAHLIFE","P&F | F.A","-5.24%","299.05","9,16,040"
"338","Brainbees Solutions Ltd","FIRSTCRY","P&F | F.A","-5.31%","367.9","9,43,360"
"562","India Pesticides Ltd","IPL","P&F | F.A","-5.32%","133.85","4,24,331"
"720","Tracxn Technologies Ltd","TRACXN","P&F | F.A","-5.33%","52.44","9,45,582"
"209","Bajaj Healthcare Ltd","BAJAJHCARE","P&F | F.A","-5.39%","670.25","3,90,751"
"941","Ajooni Biotech Ltd","AJOONI","P&F | F.A","-5.72%","5.6","24,95,527"
"761","Indian Overseas Bank","IOB","P&F | F.A","-6.66%","38.97","4,37,36,167"
"585","TVS Supply Chain Solutions Ltd","TVSSCS","P&F | F.A","-7.31%","120.75","43,17,173"
"920","Salasar Techno Engineering Ltd","SALASAR","P&F | F.A","-9.53%","8.16","2,78,42,772"
"991","Vaxtex Cotfab Ltd","VCL","P&F | F.A","-9.72%","0.65","9,53,318"
"882","AKG Exim Ltd","AKG","P&F | F.A","-10.75%","12.46","4,88,822"
"173","Aegis Logistics Ltd","AEGISLOG","P&F | F.A","-10.76%","805.45","29,94,223"
"975","Kanani Industries Limited","KANANIIND","P&F | F.A","-16.67%","1.65","21,38,851"
"932","Ruchi Infrastructure Limited","RUCHINFRA","P&F | F.A","-17.13%","6.58","22,02,962"
